"Galsworthy_Saints_1919_1" "Galsworthy_Saints_1919_2" "Galsworthy_Saints_1919_3" "Galsworthy_Saints_1919_4" "Galsworthy_Saints_1919_5" "Galsworthy_Saints_1919_6" "Galsworthy_Saints_1919_7" "Galsworthy_Saints_1919_8" "Galsworthy_Saints_1919_9" "Galsworthy_Saints_1919_2_1" "Galsworthy_Saints_1919_2_2" "Galsworthy_Saints_1919_2_3" "Galsworthy_Saints_1919_2_4" "Galsworthy_Saints_1919_2_5" "Galsworthy_Saints_1919_2_6" "Galsworthy_Saints_1919_2_7" "Galsworthy_Saints_1919_2_8" "Galsworthy_Saints_1919_2_9"
"  t h" 1.67502257054496 1.85372945880282 1.72201485358064 1.59870117467291 1.79699161786657 1.70688754281733 1.62375630235991 1.79580267526063 1.8632196120096 1.67502257054496 1.85372945880282 1.72201485358064 1.59870117467291 1.79699161786657 1.70688754281733 1.62375630235991 1.79580267526063 1.8632196120096
"h e  " 1.38496705660885 1.33912344805158 1.596952322315 1.37904689141438 1.4065908829946 1.43014727226985 1.47039089009451 1.75115028441632 1.71368984378074 1.38496705660885 1.33912344805158 1.596952322315 1.37904689141438 1.4065908829946 1.43014727226985 1.47039089009451 1.75115028441632 1.71368984378074
"t h e" 1.22937436370272 1.46155759187343 1.31411859776042 1.18040301785885 1.3472652811268 1.28113328043659 1.16366006556371 1.29686074278281 1.38315035611695 1.22937436370272 1.46155759187343 1.31411859776042 1.18040301785885 1.3472652811268 1.28113328043659 1.16366006556371 1.29686074278281 1.38315035611695
"n d  " 0.776042567087343 0.757561264897748 0.781159810674568 0.842326425365295 0.830558426149194 0.872796237880518 0.879934052872726 0.863926692422683 0.847991185613662 0.776042567087343 0.757561264897748 0.781159810674568 0.842326425365295 0.830558426149194 0.872796237880518 0.879934052872726 0.863926692422683 0.847991185613662
"  a n" 0.699206669355923 0.7288657624395 0.727286720283219 0.785025307993506 0.775060282466414 0.803127358581851 0.768744128980312 0.813450076685628 0.814543737457207 0.699206669355923 0.7288657624395 0.727286720283219 0.785025307993506 0.775060282466414 0.803127358581851 0.768744128980312 0.813450076685628 0.814543737457207
"e d  " 0.777963464530629 0.667648690528571 0.82156462846808 0.775475121764874 0.803766218854059 0.716041259458518 0.791748940820122 0.774621910734047 0.684688938732145 0.777963464530629 0.667648690528571 0.82156462846808 0.775475121764874 0.803766218854059 0.716041259458518 0.791748940820122 0.774621910734047 0.684688938732145
"a n d" 0.695364874469352 0.707822393970118 0.740754992881056 0.769745010027696 0.759750449726337 0.808933098523407 0.768744128980312 0.790153177114679 0.779128792350372 0.695364874469352 0.707822393970118 0.740754992881056 0.769745010027696 0.759750449726337 0.808933098523407 0.768744128980312 0.790153177114679 0.779128792350372
"e r  " 0.783726156860485 0.707822393970118 0.68303382460461 0.930188138668704 0.677460098748421 0.801192111934666 0.692061422847612 0.790153177114679 0.761421319796954 0.783726156860485 0.707822393970118 0.68303382460461 0.930188138668704 0.677460098748421 0.801192111934666 0.692061422847612 0.790153177114679 0.761421319796954
"  h e" 0.866324746921762 0.682952958506303 0.861969446261592 0.974118995320409 0.763577907911356 0.837961798231185 0.92977781185898 0.877516550505737 0.849958682564042 0.866324746921762 0.682952958506303 0.861969446261592 0.974118995320409 0.763577907911356 0.837961798231185 0.92977781185898 0.877516550505737 0.849958682564042
"  t o" 0.472540771048234 0.554779714192795 0.590679955362297 0.59211154617515 0.556895165920312 0.503164128268148 0.582788566608516 0.597953755654352 0.617794042419234 0.472540771048234 0.554779714192795 0.590679955362297 0.59211154617515 0.556895165920312 0.503164128268148 0.582788566608516 0.597953755654352 0.617794042419234
